"R.native","Desc","Bytestring","status","OriginalOrder"
"🧑🏻‍🎓","Student:_Light_Skin_Tone","1F9D1 1F3FB 200D 1F393","fully-qualified",1048
"👩🏿‍⚕","Woman_Health_Worker:_Dark_Skin_Tone","1F469 1F3FF 200D 2695","minimally-qualified",1046
"👩🏾‍⚕","Woman_Health_Worker:_Medium-Dark_Skin_Tone","1F469 1F3FE 200D 2695","minimally-qualified",1044
"👩🏽‍⚕","Woman_Health_Worker:_Medium_Skin_Tone","1F469 1F3FD 200D 2695","minimally-qualified",1042
"👩🏼‍⚕","Woman_Health_Worker:_Medium-Light_Skin_Tone","1F469 1F3FC 200D 2695","minimally-qualified",1040
"👩🏻‍⚕","Woman_Health_Worker:_Light_Skin_Tone","1F469 1F3FB 200D 2695","minimally-qualified",1038
"👩‍⚕️","Woman_Health_Worker","1F469 200D 2695 FE0F","fully-qualified",1035
"👨🏿‍⚕","Man_Health_Worker:_Dark_Skin_Tone","1F468 1F3FF 200D 2695","minimally-qualified",1034
"👨🏾‍⚕","Man_Health_Worker:_Medium-Dark_Skin_Tone","1F468 1F3FE 200D 2695","minimally-qualified",1032
"👨🏽‍⚕","Man_Health_Worker:_Medium_Skin_Tone","1F468 1F3FD 200D 2695","minimally-qualified",1030
"👨🏼‍⚕","Man_Health_Worker:_Medium-Light_Skin_Tone","1F468 1F3FC 200D 2695","minimally-qualified",1028
"👨🏻‍⚕","Man_Health_Worker:_Light_Skin_Tone","1F468 1F3FB 200D 2695","minimally-qualified",1026
"👨‍⚕️","Man_Health_Worker","1F468 200D 2695 FE0F","fully-qualified",1023
"🧑🏿‍⚕","Health_Worker:_Dark_Skin_Tone","1F9D1 1F3FF 200D 2695","minimally-qualified",1022
"🧑🏾‍⚕","Health_Worker:_Medium-Dark_Skin_Tone","1F9D1 1F3FE 200D 2695","minimally-qualified",1020
"🧑🏽‍⚕","Health_Worker:_Medium_Skin_Tone","1F9D1 1F3FD 200D 2695","minimally-qualified",1018
"🧑🏼‍⚕","Health_Worker:_Medium-Light_Skin_Tone","1F9D1 1F3FC 200D 2695","minimally-qualified",1016
"🧑🏻‍⚕","Health_Worker:_Light_Skin_Tone","1F9D1 1F3FB 200D 2695","minimally-qualified",1014
"🧑‍⚕️","Health_Worker","1F9D1 200D 2695 FE0F","fully-qualified",1011
"🤷🏿‍♀","Woman_Shrugging:_Dark_Skin_Tone","1F937 1F3FF 200D 2640","minimally-qualified",1010
"🤷🏾‍♀","Woman_Shrugging:_Medium-Dark_Skin_Tone","1F937 1F3FE 200D 2640","minimally-qualified",1008
"🤷🏽‍♀","Woman_Shrugging:_Medium_Skin_Tone","1F937 1F3FD 200D 2640","minimally-qualified",1006
"🤷🏼‍♀","Woman_Shrugging:_Medium-Light_Skin_Tone","1F937 1F3FC 200D 2640","minimally-qualified",1004
"🤷🏻‍♀","Woman_Shrugging:_Light_Skin_Tone","1F937 1F3FB 200D 2640","minimally-qualified",1002
"🤷‍♀️","Woman_Shrugging","1F937 200D 2640 FE0F","fully-qualified",999
"🤷🏿‍♂","Man_Shrugging:_Dark_Skin_Tone","1F937 1F3FF 200D 2642","minimally-qualified",998
"🤷🏾‍♂","Man_Shrugging:_Medium-Dark_Skin_Tone","1F937 1F3FE 200D 2642","minimally-qualified",996
"🤷🏽‍♂","Man_Shrugging:_Medium_Skin_Tone","1F937 1F3FD 200D 2642","minimally-qualified",994
"🤷🏼‍♂","Man_Shrugging:_Medium-Light_Skin_Tone","1F937 1F3FC 200D 2642","minimally-qualified",992
"🤷🏻‍♂","Man_Shrugging:_Light_Skin_Tone","1F937 1F3FB 200D 2642","minimally-qualified",990
"🤷‍♂️","Man_Shrugging","1F937 200D 2642 FE0F","fully-qualified",987
"🤦🏿‍♀","Woman_Facepalming:_Dark_Skin_Tone","1F926 1F3FF 200D 2640","minimally-qualified",980
"🤦🏾‍♀","Woman_Facepalming:_Medium-Dark_Skin_Tone","1F926 1F3FE 200D 2640","minimally-qualified",978
"🤦🏽‍♀","Woman_Facepalming:_Medium_Skin_Tone","1F926 1F3FD 200D 2640","minimally-qualified",976
"🤦🏼‍♀","Woman_Facepalming:_Medium-Light_Skin_Tone","1F926 1F3FC 200D 2640","minimally-qualified",974
"🤦🏻‍♀","Woman_Facepalming:_Light_Skin_Tone","1F926 1F3FB 200D 2640","minimally-qualified",972
"🤦‍♀️","Woman_Facepalming","1F926 200D 2640 FE0F","fully-qualified",969
"🤦🏿‍♂","Man_Facepalming:_Dark_Skin_Tone","1F926 1F3FF 200D 2642","minimally-qualified",968
"🤦🏾‍♂","Man_Facepalming:_Medium-Dark_Skin_Tone","1F926 1F3FE 200D 2642","minimally-qualified",966
"🤦🏽‍♂","Man_Facepalming:_Medium_Skin_Tone","1F926 1F3FD 200D 2642","minimally-qualified",964
"🤦🏼‍♂","Man_Facepalming:_Medium-Light_Skin_Tone","1F926 1F3FC 200D 2642","minimally-qualified",962
"🤦🏻‍♂","Man_Facepalming:_Light_Skin_Tone","1F926 1F3FB 200D 2642","minimally-qualified",960
"🤦‍♂️","Man_Facepalming","1F926 200D 2642 FE0F","fully-qualified",957
"🙇🏿‍♀","Woman_Bowing:_Dark_Skin_Tone","1F647 1F3FF 200D 2640","minimally-qualified",950
"🙇🏾‍♀","Woman_Bowing:_Medium-Dark_Skin_Tone","1F647 1F3FE 200D 2640","minimally-qualified",948
"🙇🏽‍♀","Woman_Bowing:_Medium_Skin_Tone","1F647 1F3FD 200D 2640","minimally-qualified",946
"🙇🏼‍♀","Woman_Bowing:_Medium-Light_Skin_Tone","1F647 1F3FC 200D 2640","minimally-qualified",944
"🙇🏻‍♀","Woman_Bowing:_Light_Skin_Tone","1F647 1F3FB 200D 2640","minimally-qualified",942
"🙇‍♀️","Woman_Bowing","1F647 200D 2640 FE0F","fully-qualified",939
"🙇🏿‍♂","Man_Bowing:_Dark_Skin_Tone","1F647 1F3FF 200D 2642","minimally-qualified",938
"🙇🏾‍♂","Man_Bowing:_Medium-Dark_Skin_Tone","1F647 1F3FE 200D 2642","minimally-qualified",936
"🙇🏽‍♂","Man_Bowing:_Medium_Skin_Tone","1F647 1F3FD 200D 2642","minimally-qualified",934
"🙇🏼‍♂","Man_Bowing:_Medium-Light_Skin_Tone","1F647 1F3FC 200D 2642","minimally-qualified",932
"🙇🏻‍♂","Man_Bowing:_Light_Skin_Tone","1F647 1F3FB 200D 2642","minimally-qualified",930
"🙇‍♂️","Man_Bowing","1F647 200D 2642 FE0F","fully-qualified",927
"🧏🏿‍♀","Deaf_Woman:_Dark_Skin_Tone","1F9CF 1F3FF 200D 2640","minimally-qualified",920
"🧏🏾‍♀","Deaf_Woman:_Medium-Dark_Skin_Tone","1F9CF 1F3FE 200D 2640","minimally-qualified",918
"🧏🏽‍♀","Deaf_Woman:_Medium_Skin_Tone","1F9CF 1F3FD 200D 2640","minimally-qualified",916
"🧏🏼‍♀","Deaf_Woman:_Medium-Light_Skin_Tone","1F9CF 1F3FC 200D 2640","minimally-qualified",914
"🧏🏻‍♀","Deaf_Woman:_Light_Skin_Tone","1F9CF 1F3FB 200D 2640","minimally-qualified",912
"🧏‍♀️","Deaf_Woman","1F9CF 200D 2640 FE0F","fully-qualified",909
"🧏🏿‍♂","Deaf_Man:_Dark_Skin_Tone","1F9CF 1F3FF 200D 2642","minimally-qualified",908
"🧏🏾‍♂","Deaf_Man:_Medium-Dark_Skin_Tone","1F9CF 1F3FE 200D 2642","minimally-qualified",906
"🧏🏽‍♂","Deaf_Man:_Medium_Skin_Tone","1F9CF 1F3FD 200D 2642","minimally-qualified",904
"🧏🏼‍♂","Deaf_Man:_Medium-Light_Skin_Tone","1F9CF 1F3FC 200D 2642","minimally-qualified",902
"🧏🏻‍♂","Deaf_Man:_Light_Skin_Tone","1F9CF 1F3FB 200D 2642","minimally-qualified",900
"🧏‍♂️","Deaf_Man","1F9CF 200D 2642 FE0F","fully-qualified",897
"🙋🏿‍♀","Woman_Raising_Hand:_Dark_Skin_Tone","1F64B 1F3FF 200D 2640","minimally-qualified",890
"🙋🏾‍♀","Woman_Raising_Hand:_Medium-Dark_Skin_Tone","1F64B 1F3FE 200D 2640","minimally-qualified",888
"🙋🏽‍♀","Woman_Raising_Hand:_Medium_Skin_Tone","1F64B 1F3FD 200D 2640","minimally-qualified",886
"🙋🏼‍♀","Woman_Raising_Hand:_Medium-Light_Skin_Tone","1F64B 1F3FC 200D 2640","minimally-qualified",884
"🙋🏻‍♀","Woman_Raising_Hand:_Light_Skin_Tone","1F64B 1F3FB 200D 2640","minimally-qualified",882
"🙋‍♀️","Woman_Raising_Hand","1F64B 200D 2640 FE0F","fully-qualified",879
"🙋🏿‍♂","Man_Raising_Hand:_Dark_Skin_Tone","1F64B 1F3FF 200D 2642","minimally-qualified",878
"🙋🏾‍♂","Man_Raising_Hand:_Medium-Dark_Skin_Tone","1F64B 1F3FE 200D 2642","minimally-qualified",876
"🙋🏽‍♂","Man_Raising_Hand:_Medium_Skin_Tone","1F64B 1F3FD 200D 2642","minimally-qualified",874
"🙋🏼‍♂","Man_Raising_Hand:_Medium-Light_Skin_Tone","1F64B 1F3FC 200D 2642","minimally-qualified",872
"🙋🏻‍♂","Man_Raising_Hand:_Light_Skin_Tone","1F64B 1F3FB 200D 2642","minimally-qualified",870
"🙋‍♂️","Man_Raising_Hand","1F64B 200D 2642 FE0F","fully-qualified",867
"💁🏿‍♀","Woman_Tipping_Hand:_Dark_Skin_Tone","1F481 1F3FF 200D 2640","minimally-qualified",860
"💁🏾‍♀","Woman_Tipping_Hand:_Medium-Dark_Skin_Tone","1F481 1F3FE 200D 2640","minimally-qualified",858
"💁🏽‍♀","Woman_Tipping_Hand:_Medium_Skin_Tone","1F481 1F3FD 200D 2640","minimally-qualified",856
"💁🏼‍♀","Woman_Tipping_Hand:_Medium-Light_Skin_Tone","1F481 1F3FC 200D 2640","minimally-qualified",854
"💁🏻‍♀","Woman_Tipping_Hand:_Light_Skin_Tone","1F481 1F3FB 200D 2640","minimally-qualified",852
"💁‍♀️","Woman_Tipping_Hand","1F481 200D 2640 FE0F","fully-qualified",849
"💁🏿‍♂","Man_Tipping_Hand:_Dark_Skin_Tone","1F481 1F3FF 200D 2642","minimally-qualified",848
"💁🏾‍♂","Man_Tipping_Hand:_Medium-Dark_Skin_Tone","1F481 1F3FE 200D 2642","minimally-qualified",846
"💁🏽‍♂","Man_Tipping_Hand:_Medium_Skin_Tone","1F481 1F3FD 200D 2642","minimally-qualified",844
"💁🏼‍♂","Man_Tipping_Hand:_Medium-Light_Skin_Tone","1F481 1F3FC 200D 2642","minimally-qualified",842
"💁🏻‍♂","Man_Tipping_Hand:_Light_Skin_Tone","1F481 1F3FB 200D 2642","minimally-qualified",840
"💁‍♂️","Man_Tipping_Hand","1F481 200D 2642 FE0F","fully-qualified",837
"🙆🏿‍♀","Woman_Gesturing_Ok:_Dark_Skin_Tone","1F646 1F3FF 200D 2640","minimally-qualified",830
"🙆🏾‍♀","Woman_Gesturing_Ok:_Medium-Dark_Skin_Tone","1F646 1F3FE 200D 2640","minimally-qualified",828
"🙆🏽‍♀","Woman_Gesturing_Ok:_Medium_Skin_Tone","1F646 1F3FD 200D 2640","minimally-qualified",826
"🙆🏼‍♀","Woman_Gesturing_Ok:_Medium-Light_Skin_Tone","1F646 1F3FC 200D 2640","minimally-qualified",824
"🙆🏻‍♀","Woman_Gesturing_Ok:_Light_Skin_Tone","1F646 1F3FB 200D 2640","minimally-qualified",822
"🙆‍♀️","Woman_Gesturing_Ok","1F646 200D 2640 FE0F","fully-qualified",819
"🙆🏿‍♂","Man_Gesturing_Ok:_Dark_Skin_Tone","1F646 1F3FF 200D 2642","minimally-qualified",818
"🙆🏾‍♂","Man_Gesturing_Ok:_Medium-Dark_Skin_Tone","1F646 1F3FE 200D 2642","minimally-qualified",816
"🙆🏽‍♂","Man_Gesturing_Ok:_Medium_Skin_Tone","1F646 1F3FD 200D 2642","minimally-qualified",814
"🙆🏼‍♂","Man_Gesturing_Ok:_Medium-Light_Skin_Tone","1F646 1F3FC 200D 2642","minimally-qualified",812
"🙆🏻‍♂","Man_Gesturing_Ok:_Light_Skin_Tone","1F646 1F3FB 200D 2642","minimally-qualified",810
"🙆‍♂️","Man_Gesturing_Ok","1F646 200D 2642 FE0F","fully-qualified",807
"🙅🏿‍♀","Woman_Gesturing_No:_Dark_Skin_Tone","1F645 1F3FF 200D 2640","minimally-qualified",800
"🙅🏾‍♀","Woman_Gesturing_No:_Medium-Dark_Skin_Tone","1F645 1F3FE 200D 2640","minimally-qualified",798
"🙅🏽‍♀","Woman_Gesturing_No:_Medium_Skin_Tone","1F645 1F3FD 200D 2640","minimally-qualified",796
"🙅🏼‍♀","Woman_Gesturing_No:_Medium-Light_Skin_Tone","1F645 1F3FC 200D 2640","minimally-qualified",794
"🙅🏻‍♀","Woman_Gesturing_No:_Light_Skin_Tone","1F645 1F3FB 200D 2640","minimally-qualified",792
"🙅‍♀️","Woman_Gesturing_No","1F645 200D 2640 FE0F","fully-qualified",789
"🙅🏿‍♂","Man_Gesturing_No:_Dark_Skin_Tone","1F645 1F3FF 200D 2642","minimally-qualified",788
"🙅🏾‍♂","Man_Gesturing_No:_Medium-Dark_Skin_Tone","1F645 1F3FE 200D 2642","minimally-qualified",786
"🙅🏽‍♂","Man_Gesturing_No:_Medium_Skin_Tone","1F645 1F3FD 200D 2642","minimally-qualified",784
"🙅🏼‍♂","Man_Gesturing_No:_Medium-Light_Skin_Tone","1F645 1F3FC 200D 2642","minimally-qualified",782
"🙅🏻‍♂","Man_Gesturing_No:_Light_Skin_Tone","1F645 1F3FB 200D 2642","minimally-qualified",780
"🙅‍♂️","Man_Gesturing_No","1F645 200D 2642 FE0F","fully-qualified",777
"🙎🏿‍♀","Woman_Pouting:_Dark_Skin_Tone","1F64E 1F3FF 200D 2640","minimally-qualified",770
"🙎🏾‍♀","Woman_Pouting:_Medium-Dark_Skin_Tone","1F64E 1F3FE 200D 2640","minimally-qualified",768
"🙎🏽‍♀","Woman_Pouting:_Medium_Skin_Tone","1F64E 1F3FD 200D 2640","minimally-qualified",766
"🙎🏼‍♀","Woman_Pouting:_Medium-Light_Skin_Tone","1F64E 1F3FC 200D 2640","minimally-qualified",764
"🙎🏻‍♀","Woman_Pouting:_Light_Skin_Tone","1F64E 1F3FB 200D 2640","minimally-qualified",762
"🙎‍♀️","Woman_Pouting","1F64E 200D 2640 FE0F","fully-qualified",759
"🙎🏿‍♂","Man_Pouting:_Dark_Skin_Tone","1F64E 1F3FF 200D 2642","minimally-qualified",758
"🙎🏾‍♂","Man_Pouting:_Medium-Dark_Skin_Tone","1F64E 1F3FE 200D 2642","minimally-qualified",756
"🙎🏽‍♂","Man_Pouting:_Medium_Skin_Tone","1F64E 1F3FD 200D 2642","minimally-qualified",754
"🙎🏼‍♂","Man_Pouting:_Medium-Light_Skin_Tone","1F64E 1F3FC 200D 2642","minimally-qualified",752
"🙎🏻‍♂","Man_Pouting:_Light_Skin_Tone","1F64E 1F3FB 200D 2642","minimally-qualified",750
"🙎‍♂️","Man_Pouting","1F64E 200D 2642 FE0F","fully-qualified",747
"🙍🏿‍♀","Woman_Frowning:_Dark_Skin_Tone","1F64D 1F3FF 200D 2640","minimally-qualified",740
"🙍🏾‍♀","Woman_Frowning:_Medium-Dark_Skin_Tone","1F64D 1F3FE 200D 2640","minimally-qualified",738
"🙍🏽‍♀","Woman_Frowning:_Medium_Skin_Tone","1F64D 1F3FD 200D 2640","minimally-qualified",736
"🙍🏼‍♀","Woman_Frowning:_Medium-Light_Skin_Tone","1F64D 1F3FC 200D 2640","minimally-qualified",734
"🙍🏻‍♀","Woman_Frowning:_Light_Skin_Tone","1F64D 1F3FB 200D 2640","minimally-qualified",732
"🙍‍♀️","Woman_Frowning","1F64D 200D 2640 FE0F","fully-qualified",729
"🙍🏿‍♂","Man_Frowning:_Dark_Skin_Tone","1F64D 1F3FF 200D 2642","minimally-qualified",728
"🙍🏾‍♂","Man_Frowning:_Medium-Dark_Skin_Tone","1F64D 1F3FE 200D 2642","minimally-qualified",726
"🙍🏽‍♂","Man_Frowning:_Medium_Skin_Tone","1F64D 1F3FD 200D 2642","minimally-qualified",724
"🙍🏼‍♂","Man_Frowning:_Medium-Light_Skin_Tone","1F64D 1F3FC 200D 2642","minimally-qualified",722
"🙍🏻‍♂","Man_Frowning:_Light_Skin_Tone","1F64D 1F3FB 200D 2642","minimally-qualified",720
"🙍‍♂️","Man_Frowning","1F64D 200D 2642 FE0F","fully-qualified",717
"👱🏿‍♂","Man:_Dark_Skin_Tone,_Blond_Hair","1F471 1F3FF 200D 2642","minimally-qualified",692
"👱🏾‍♂","Man:_Medium-Dark_Skin_Tone,_Blond_Hair","1F471 1F3FE 200D 2642","minimally-qualified",690
"👱🏽‍♂","Man:_Medium_Skin_Tone,_Blond_Hair","1F471 1F3FD 200D 2642","minimally-qualified",688
"👱🏼‍♂","Man:_Medium-Light_Skin_Tone,_Blond_Hair","1F471 1F3FC 200D 2642","minimally-qualified",686
"👱🏻‍♂","Man:_Light_Skin_Tone,_Blond_Hair","1F471 1F3FB 200D 2642","minimally-qualified",684
"👱‍♂️","Man:_Blond_Hair","1F471 200D 2642 FE0F","fully-qualified",681
"👱🏿‍♀","Woman:_Dark_Skin_Tone,_Blond_Hair","1F471 1F3FF 200D 2640","minimally-qualified",680
"👱🏾‍♀","Woman:_Medium-Dark_Skin_Tone,_Blond_Hair","1F471 1F3FE 200D 2640","minimally-qualified",678
"👱🏽‍♀","Woman:_Medium_Skin_Tone,_Blond_Hair","1F471 1F3FD 200D 2640","minimally-qualified",676
"👱🏼‍♀","Woman:_Medium-Light_Skin_Tone,_Blond_Hair","1F471 1F3FC 200D 2640","minimally-qualified",674
"👱🏻‍♀","Woman:_Light_Skin_Tone,_Blond_Hair","1F471 1F3FB 200D 2640","minimally-qualified",672
"👱‍♀️","Woman:_Blond_Hair","1F471 200D 2640 FE0F","fully-qualified",669
"🧑🏿‍🦲","Person:_Dark_Skin_Tone,_Bald","1F9D1 1F3FF 200D 1F9B2","fully-qualified",668
"🧑🏾‍🦲","Person:_Medium-Dark_Skin_Tone,_Bald","1F9D1 1F3FE 200D 1F9B2","fully-qualified",667
"🧑🏽‍🦲","Person:_Medium_Skin_Tone,_Bald","1F9D1 1F3FD 200D 1F9B2","fully-qualified",666
"🧑🏼‍🦲","Person:_Medium-Light_Skin_Tone,_Bald","1F9D1 1F3FC 200D 1F9B2","fully-qualified",665
"🧑🏻‍🦲","Person:_Light_Skin_Tone,_Bald","1F9D1 1F3FB 200D 1F9B2","fully-qualified",664
"👩🏿‍🦲","Woman:_Dark_Skin_Tone,_Bald","1F469 1F3FF 200D 1F9B2","fully-qualified",662
"👩🏾‍🦲","Woman:_Medium-Dark_Skin_Tone,_Bald","1F469 1F3FE 200D 1F9B2","fully-qualified",661
"👩🏽‍🦲","Woman:_Medium_Skin_Tone,_Bald","1F469 1F3FD 200D 1F9B2","fully-qualified",660
"👩🏼‍🦲","Woman:_Medium-Light_Skin_Tone,_Bald","1F469 1F3FC 200D 1F9B2","fully-qualified",659
"👩🏻‍🦲","Woman:_Light_Skin_Tone,_Bald","1F469 1F3FB 200D 1F9B2","fully-qualified",658
"🧑🏿‍🦳","Person:_Dark_Skin_Tone,_White_Hair","1F9D1 1F3FF 200D 1F9B3","fully-qualified",656
"🧑🏾‍🦳","Person:_Medium-Dark_Skin_Tone,_White_Hair","1F9D1 1F3FE 200D 1F9B3","fully-qualified",655
"🧑🏽‍🦳","Person:_Medium_Skin_Tone,_White_Hair","1F9D1 1F3FD 200D 1F9B3","fully-qualified",654
"🧑🏼‍🦳","Person:_Medium-Light_Skin_Tone,_White_Hair","1F9D1 1F3FC 200D 1F9B3","fully-qualified",653
"🧑🏻‍🦳","Person:_Light_Skin_Tone,_White_Hair","1F9D1 1F3FB 200D 1F9B3","fully-qualified",652
"👩🏿‍🦳","Woman:_Dark_Skin_Tone,_White_Hair","1F469 1F3FF 200D 1F9B3","fully-qualified",650
"👩🏾‍🦳","Woman:_Medium-Dark_Skin_Tone,_White_Hair","1F469 1F3FE 200D 1F9B3","fully-qualified",649
"👩🏽‍🦳","Woman:_Medium_Skin_Tone,_White_Hair","1F469 1F3FD 200D 1F9B3","fully-qualified",648
"👩🏼‍🦳","Woman:_Medium-Light_Skin_Tone,_White_Hair","1F469 1F3FC 200D 1F9B3","fully-qualified",647
"👩🏻‍🦳","Woman:_Light_Skin_Tone,_White_Hair","1F469 1F3FB 200D 1F9B3","fully-qualified",646
"🧑🏿‍🦱","Person:_Dark_Skin_Tone,_Curly_Hair","1F9D1 1F3FF 200D 1F9B1","fully-qualified",644
"🧑🏾‍🦱","Person:_Medium-Dark_Skin_Tone,_Curly_Hair","1F9D1 1F3FE 200D 1F9B1","fully-qualified",643
"🧑🏽‍🦱","Person:_Medium_Skin_Tone,_Curly_Hair","1F9D1 1F3FD 200D 1F9B1","fully-qualified",642
"🧑🏼‍🦱","Person:_Medium-Light_Skin_Tone,_Curly_Hair","1F9D1 1F3FC 200D 1F9B1","fully-qualified",641
"🧑🏻‍🦱","Person:_Light_Skin_Tone,_Curly_Hair","1F9D1 1F3FB 200D 1F9B1","fully-qualified",640
"👩🏿‍🦱","Woman:_Dark_Skin_Tone,_Curly_Hair","1F469 1F3FF 200D 1F9B1","fully-qualified",638
"👩🏾‍🦱","Woman:_Medium-Dark_Skin_Tone,_Curly_Hair","1F469 1F3FE 200D 1F9B1","fully-qualified",637
"👩🏽‍🦱","Woman:_Medium_Skin_Tone,_Curly_Hair","1F469 1F3FD 200D 1F9B1","fully-qualified",636
"👩🏼‍🦱","Woman:_Medium-Light_Skin_Tone,_Curly_Hair","1F469 1F3FC 200D 1F9B1","fully-qualified",635
"👩🏻‍🦱","Woman:_Light_Skin_Tone,_Curly_Hair","1F469 1F3FB 200D 1F9B1","fully-qualified",634
"🧑🏿‍🦰","Person:_Dark_Skin_Tone,_Red_Hair","1F9D1 1F3FF 200D 1F9B0","fully-qualified",632
"🧑🏾‍🦰","Person:_Medium-Dark_Skin_Tone,_Red_Hair","1F9D1 1F3FE 200D 1F9B0","fully-qualified",631
"🧑🏽‍🦰","Person:_Medium_Skin_Tone,_Red_Hair","1F9D1 1F3FD 200D 1F9B0","fully-qualified",630
"🧑🏼‍🦰","Person:_Medium-Light_Skin_Tone,_Red_Hair","1F9D1 1F3FC 200D 1F9B0","fully-qualified",629
"🧑🏻‍🦰","Person:_Light_Skin_Tone,_Red_Hair","1F9D1 1F3FB 200D 1F9B0","fully-qualified",628
"👩🏿‍🦰","Woman:_Dark_Skin_Tone,_Red_Hair","1F469 1F3FF 200D 1F9B0","fully-qualified",626
"👩🏾‍🦰","Woman:_Medium-Dark_Skin_Tone,_Red_Hair","1F469 1F3FE 200D 1F9B0","fully-qualified",625
"👩🏽‍🦰","Woman:_Medium_Skin_Tone,_Red_Hair","1F469 1F3FD 200D 1F9B0","fully-qualified",624
"👩🏼‍🦰","Woman:_Medium-Light_Skin_Tone,_Red_Hair","1F469 1F3FC 200D 1F9B0","fully-qualified",623
"👩🏻‍🦰","Woman:_Light_Skin_Tone,_Red_Hair","1F469 1F3FB 200D 1F9B0","fully-qualified",622
"👨🏿‍🦲","Man:_Dark_Skin_Tone,_Bald","1F468 1F3FF 200D 1F9B2","fully-qualified",614
"👨🏾‍🦲","Man:_Medium-Dark_Skin_Tone,_Bald","1F468 1F3FE 200D 1F9B2","fully-qualified",613
"👨🏽‍🦲","Man:_Medium_Skin_Tone,_Bald","1F468 1F3FD 200D 1F9B2","fully-qualified",612
"👨🏼‍🦲","Man:_Medium-Light_Skin_Tone,_Bald","1F468 1F3FC 200D 1F9B2","fully-qualified",611
"👨🏻‍🦲","Man:_Light_Skin_Tone,_Bald","1F468 1F3FB 200D 1F9B2","fully-qualified",610
"👨🏿‍🦳","Man:_Dark_Skin_Tone,_White_Hair","1F468 1F3FF 200D 1F9B3","fully-qualified",608
"👨🏾‍🦳","Man:_Medium-Dark_Skin_Tone,_White_Hair","1F468 1F3FE 200D 1F9B3","fully-qualified",607
"👨🏽‍🦳","Man:_Medium_Skin_Tone,_White_Hair","1F468 1F3FD 200D 1F9B3","fully-qualified",606
"👨🏼‍🦳","Man:_Medium-Light_Skin_Tone,_White_Hair","1F468 1F3FC 200D 1F9B3","fully-qualified",605
"👨🏻‍🦳","Man:_Light_Skin_Tone,_White_Hair","1F468 1F3FB 200D 1F9B3","fully-qualified",604
"👨🏿‍🦱","Man:_Dark_Skin_Tone,_Curly_Hair","1F468 1F3FF 200D 1F9B1","fully-qualified",602
"👨🏾‍🦱","Man:_Medium-Dark_Skin_Tone,_Curly_Hair","1F468 1F3FE 200D 1F9B1","fully-qualified",601
"👨🏽‍🦱","Man:_Medium_Skin_Tone,_Curly_Hair","1F468 1F3FD 200D 1F9B1","fully-qualified",600
"👨🏼‍🦱","Man:_Medium-Light_Skin_Tone,_Curly_Hair","1F468 1F3FC 200D 1F9B1","fully-qualified",599
"👨🏻‍🦱","Man:_Light_Skin_Tone,_Curly_Hair","1F468 1F3FB 200D 1F9B1","fully-qualified",598
"👨🏿‍🦰","Man:_Dark_Skin_Tone,_Red_Hair","1F468 1F3FF 200D 1F9B0","fully-qualified",596
"👨🏾‍🦰","Man:_Medium-Dark_Skin_Tone,_Red_Hair","1F468 1F3FE 200D 1F9B0","fully-qualified",595
"👨🏽‍🦰","Man:_Medium_Skin_Tone,_Red_Hair","1F468 1F3FD 200D 1F9B0","fully-qualified",594
"👨🏼‍🦰","Man:_Medium-Light_Skin_Tone,_Red_Hair","1F468 1F3FC 200D 1F9B0","fully-qualified",593
"👨🏻‍🦰","Man:_Light_Skin_Tone,_Red_Hair","1F468 1F3FB 200D 1F9B0","fully-qualified",592
"🧔🏿‍♀","Woman:_Dark_Skin_Tone,_Beard","1F9D4 1F3FF 200D 2640","minimally-qualified",590
"🧔🏾‍♀","Woman:_Medium-Dark_Skin_Tone,_Beard","1F9D4 1F3FE 200D 2640","minimally-qualified",588
"🧔🏽‍♀","Woman:_Medium_Skin_Tone,_Beard","1F9D4 1F3FD 200D 2640","minimally-qualified",586
"🧔🏼‍♀","Woman:_Medium-Light_Skin_Tone,_Beard","1F9D4 1F3FC 200D 2640","minimally-qualified",584
"🧔🏻‍♀","Woman:_Light_Skin_Tone,_Beard","1F9D4 1F3FB 200D 2640","minimally-qualified",582
"🧔‍♀️","Woman:_Beard","1F9D4 200D 2640 FE0F","fully-qualified",579
"🧔🏿‍♂","Man:_Dark_Skin_Tone,_Beard","1F9D4 1F3FF 200D 2642","minimally-qualified",578
"🧔🏾‍♂","Man:_Medium-Dark_Skin_Tone,_Beard","1F9D4 1F3FE 200D 2642","minimally-qualified",576
"🧔🏽‍♂","Man:_Medium_Skin_Tone,_Beard","1F9D4 1F3FD 200D 2642","minimally-qualified",574
"🧔🏼‍♂","Man:_Medium-Light_Skin_Tone,_Beard","1F9D4 1F3FC 200D 2642","minimally-qualified",572
"🧔🏻‍♂","Man:_Light_Skin_Tone,_Beard","1F9D4 1F3FB 200D 2642","minimally-qualified",570
"🧔‍♂️","Man:_Beard","1F9D4 200D 2642 FE0F","fully-qualified",567
"👁️‍🗨","Eye_In_Speech_Bubble","1F441 FE0F 200D 1F5E8","minimally-qualified",180
"👁‍🗨️","Eye_In_Speech_Bubble","1F441 200D 1F5E8 FE0F","unqualified",179
"❤️‍🩹","Mending_Heart","2764 FE0F 200D 1FA79","fully-qualified",152
"❤️‍🔥","Heart_On_Fire","2764 FE0F 200D 1F525","fully-qualified",150
"🙂‍↕️","Head_Shaking_Vertically","1F642 200D 2195 FE0F","fully-qualified",55
