"R.native","Desc","Bytestring","status","OriginalOrder"
"👨🏼‍❤️‍💋‍👨🏽","Kiss:_Man,_Man,_Medium-Light_Skin_Tone,_Medium_Skin_Tone","1F468 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD","fully-qualified",3329
"👨🏼‍❤️‍💋‍👨🏼","Kiss:_Man,_Man,_Medium-Light_Skin_Tone","1F468 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC","fully-qualified",3327
"👨🏼‍❤️‍💋‍👨🏻","Kiss:_Man,_Man,_Medium-Light_Skin_Tone,_Light_Skin_Tone","1F468 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB","fully-qualified",3325
"👨🏻‍❤️‍💋‍👨🏿","Kiss:_Man,_Man,_Light_Skin_Tone,_Dark_Skin_Tone","1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF","fully-qualified",3323
"👨🏻‍❤️‍💋‍👨🏾","Kiss:_Man,_Man,_Light_Skin_Tone,_Medium-Dark_Skin_Tone","1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE","fully-qualified",3321
"👨🏻‍❤️‍💋‍👨🏽","Kiss:_Man,_Man,_Light_Skin_Tone,_Medium_Skin_Tone","1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD","fully-qualified",3319
"👨🏻‍❤️‍💋‍👨🏼","Kiss:_Man,_Man,_Light_Skin_Tone,_Medium-Light_Skin_Tone","1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC","fully-qualified",3317
"👨🏻‍❤️‍💋‍👨🏻","Kiss:_Man,_Man,_Light_Skin_Tone","1F468 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB","fully-qualified",3315
"👩🏿‍❤️‍💋‍👨🏿","Kiss:_Woman,_Man,_Dark_Skin_Tone","1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF","fully-qualified",3311
"👩🏿‍❤️‍💋‍👨🏾","Kiss:_Woman,_Man,_Dark_Skin_Tone,_Medium-Dark_Skin_Tone","1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE","fully-qualified",3309
"👩🏿‍❤️‍💋‍👨🏽","Kiss:_Woman,_Man,_Dark_Skin_Tone,_Medium_Skin_Tone","1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD","fully-qualified",3307
"👩🏿‍❤️‍💋‍👨🏼","Kiss:_Woman,_Man,_Dark_Skin_Tone,_Medium-Light_Skin_Tone","1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC","fully-qualified",3305
"👩🏿‍❤️‍💋‍👨🏻","Kiss:_Woman,_Man,_Dark_Skin_Tone,_Light_Skin_Tone","1F469 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB","fully-qualified",3303
"👩🏾‍❤️‍💋‍👨🏿","Kiss:_Woman,_Man,_Medium-Dark_Skin_Tone,_Dark_Skin_Tone","1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF","fully-qualified",3301
"👩🏾‍❤️‍💋‍👨🏾","Kiss:_Woman,_Man,_Medium-Dark_Skin_Tone","1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE","fully-qualified",3299
"👩🏾‍❤️‍💋‍👨🏽","Kiss:_Woman,_Man,_Medium-Dark_Skin_Tone,_Medium_Skin_Tone","1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD","fully-qualified",3297
"👩🏾‍❤️‍💋‍👨🏼","Kiss:_Woman,_Man,_Medium-Dark_Skin_Tone,_Medium-Light_Skin_Tone","1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC","fully-qualified",3295
"👩🏾‍❤️‍💋‍👨🏻","Kiss:_Woman,_Man,_Medium-Dark_Skin_Tone,_Light_Skin_Tone","1F469 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB","fully-qualified",3293
"👩🏽‍❤️‍💋‍👨🏿","Kiss:_Woman,_Man,_Medium_Skin_Tone,_Dark_Skin_Tone","1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF","fully-qualified",3291
"👩🏽‍❤️‍💋‍👨🏾","Kiss:_Woman,_Man,_Medium_Skin_Tone,_Medium-Dark_Skin_Tone","1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE","fully-qualified",3289
"👩🏽‍❤️‍💋‍👨🏽","Kiss:_Woman,_Man,_Medium_Skin_Tone","1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD","fully-qualified",3287
"👩🏽‍❤️‍💋‍👨🏼","Kiss:_Woman,_Man,_Medium_Skin_Tone,_Medium-Light_Skin_Tone","1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC","fully-qualified",3285
"👩🏽‍❤️‍💋‍👨🏻","Kiss:_Woman,_Man,_Medium_Skin_Tone,_Light_Skin_Tone","1F469 1F3FD 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB","fully-qualified",3283
"👩🏼‍❤️‍💋‍👨🏿","Kiss:_Woman,_Man,_Medium-Light_Skin_Tone,_Dark_Skin_Tone","1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF","fully-qualified",3281
"👩🏼‍❤️‍💋‍👨🏾","Kiss:_Woman,_Man,_Medium-Light_Skin_Tone,_Medium-Dark_Skin_Tone","1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE","fully-qualified",3279
"👩🏼‍❤️‍💋‍👨🏽","Kiss:_Woman,_Man,_Medium-Light_Skin_Tone,_Medium_Skin_Tone","1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD","fully-qualified",3277
"👩🏼‍❤️‍💋‍👨🏼","Kiss:_Woman,_Man,_Medium-Light_Skin_Tone","1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC","fully-qualified",3275
"👩🏼‍❤️‍💋‍👨🏻","Kiss:_Woman,_Man,_Medium-Light_Skin_Tone,_Light_Skin_Tone","1F469 1F3FC 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB","fully-qualified",3273
"👩🏻‍❤️‍💋‍👨🏿","Kiss:_Woman,_Man,_Light_Skin_Tone,_Dark_Skin_Tone","1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FF","fully-qualified",3271
"👩🏻‍❤️‍💋‍👨🏾","Kiss:_Woman,_Man,_Light_Skin_Tone,_Medium-Dark_Skin_Tone","1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FE","fully-qualified",3269
"👩🏻‍❤️‍💋‍👨🏽","Kiss:_Woman,_Man,_Light_Skin_Tone,_Medium_Skin_Tone","1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FD","fully-qualified",3267
"👩🏻‍❤️‍💋‍👨🏼","Kiss:_Woman,_Man,_Light_Skin_Tone,_Medium-Light_Skin_Tone","1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FC","fully-qualified",3265
"👩🏻‍❤️‍💋‍👨🏻","Kiss:_Woman,_Man,_Light_Skin_Tone","1F469 1F3FB 200D 2764 FE0F 200D 1F48B 200D 1F468 1F3FB","fully-qualified",3263
"🧑🏿‍❤️‍💋‍🧑🏾","Kiss:_Person,_Person,_Dark_Skin_Tone,_Medium-Dark_Skin_Tone","1F9D1 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FE","fully-qualified",3259
"🧑🏿‍❤️‍💋‍🧑🏽","Kiss:_Person,_Person,_Dark_Skin_Tone,_Medium_Skin_Tone","1F9D1 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FD","fully-qualified",3257
"🧑🏿‍❤️‍💋‍🧑🏼","Kiss:_Person,_Person,_Dark_Skin_Tone,_Medium-Light_Skin_Tone","1F9D1 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FC","fully-qualified",3255
"🧑🏿‍❤️‍💋‍🧑🏻","Kiss:_Person,_Person,_Dark_Skin_Tone,_Light_Skin_Tone","1F9D1 1F3FF 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FB","fully-qualified",3253
"🧑🏾‍❤️‍💋‍🧑🏿","Kiss:_Person,_Person,_Medium-Dark_Skin_Tone,_Dark_Skin_Tone","1F9D1 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FF","fully-qualified",3251
"🧑🏾‍❤️‍💋‍🧑🏽","Kiss:_Person,_Person,_Medium-Dark_Skin_Tone,_Medium_Skin_Tone","1F9D1 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FD","fully-qualified",3249
"🧑🏾‍❤️‍💋‍🧑🏼","Kiss:_Person,_Person,_Medium-Dark_Skin_Tone,_Medium-Light_Skin_Tone","1F9D1 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FC","fully-qualified",3247
"🧑🏾‍❤️‍💋‍🧑🏻","Kiss:_Person,_Person,_Medium-Dark_Skin_Tone,_Light_Skin_Tone","1F9D1 1F3FE 200D 2764 FE0F 200D 1F48B 200D 1F9D1 1F3FB","fully-qualified",3245
